Title,Author,Category,Publication Year,ISBN,Status,Student Name,Issue_Date,Returned_Date,Condition
WORDS FOR EVERYDAY ANIMALS (Words for Everyday),"Davenport, Zoe",Science,2010,6128260438,Issued,Student 237,15-07-2024,25-07-2024,Lost
A birthday gift for Mommi,"Beers, V. Gilbert",Fantasy,2013,3597009738,Returned,Student 27,13-06-2024,29-06-2024,To Be Replaced
Vision: A Personal Call to Create a New World,"Carey, Ken",Fiction,2013,4655730355,Returned,Student 43,14-07-2024,20-07-2024,Lost
"Three Essays: On Liberty, Representative Government, The Subjection of Women","Mill, John Stuart and Stillinger, Jack (EDT)",Fantasy,1989,8864285771,Available,,,,Lost
The Mozart Companion a Symposium by leading Mozart Scholar,"Landon, Harold R.",Science,1981,2781968664,Returned,Student 258,05-04-2024,13-04-2024,To Be Replaced
Joshua and the Children: A Parable,Joseph F. Girzone,Science,1994,5416031878,Available,,,,Lost
Red Square,"Smith, Martin Cruz",Science,1989,1590985753,Returned,Student 242,27-06-2024,24-07-2024,Lost
Buffalo Gordon,"Lewis, J. P. Sinclair",Biography,2010,1340272119,Issued,Student 111,08-02-2024,26-02-2024,Lost
Certain Poor Shepherds: A Christmas Tale,"Thomas, Elizabeth Marshall and Davidson, Andrew (ILT)",Fantasy,2007,2237386857,Issued,Student 63,13-01-2024,21-01-2024,Lost
The New Building Your Mate's Self-Esteem,"Rainey, Dennis and Rainey, Barbara",Technology,2019,2963288053,Available,,,,Lost
Rogue Regimes: Terrorism and Proliferation,"Tanter, Raymond",Fantasy,1981,3469810046,Available,,,,Good
"The Abuse Excuse: And Other Cop-Outs, Sob Stories, and Evasions of Responsibility","Dershowitz, Alan M.",Fiction,2019,2515333350,Issued,Student 96,19-06-2024,11-07-2024,To Be Replaced
Houghton Mifflin Invitations to Literature: Student Anthology Level 1.4 Surprise 1997 (Invitations to Lit 1997),Hm (COR),Science,1984,5382302465,Issued,Student 23,11-06-2024,24-06-2024,To Be Replaced
The Pharaohs of Ancient Egypt (Megascope Series),"Derouin, Claire",Biography,1981,5585133383,Available,,,,Good
1776-1976: Zweihundert Jahre deutsch-amerikanische Beziehungen = two hundred years of German-American relations : eine Dokumentation (German Edition),"Piltz, Thomas",Biography,1986,2428156550,Available,,,,Lost
Dannybird,Philip Macht,Science,2021,8281641403,Available,,,,Good
Technical Manual and Dictionary of Classical Ballet (Dover Books on Dance),"Grant, Gail",Biography,2009,5453811475,Available,,,,Lost
Life and Death in Shanghai,"Cheng, Nien",Fiction,2000,9303765140,Issued,Student 279,01-05-2024,10-05-2024,Good
100 Favorite Roses (100 Favorite Series),"Dunn, Teri",Biography,1992,6523804237,Available,,,,Lost
All Around The Town,"Clark, Mary Higgins",Science,1987,8728116828,Issued,Student 205,09-07-2024,24-07-2024,Lost
New World Visions of Household Gods and Sacred Places: American Art and the Metropolitan Museum of Art 1650-1914,"Scully, Vincent",Non-Fiction,2011,8267378816,Returned,Student 266,09-03-2024,04-04-2024,Good
New Stories from the South 2001: The Year's Best,"Ravenel, Shannon",History,1985,6556684476,Available,,,,Good
Orchids as House Plants,"Northen, Rebecca Tyson",Biography,1998,6611356986,Returned,Student 86,25-06-2024,10-07-2024,Lost
The History of the American Sailing Navy: The Ships and Their Development,"Chapelle, Howard Irving",Fiction,2002,7163022531,Available,,,,Lost
"The Experience of Opera (Norton Library, N706)","Lang, Paul Henry",Biography,2005,3918046336,Available,,,,Damaged
The pattern of Soviet power,"Snow, Edgar",Biography,2008,1149460439,Available,,,,To Be Replaced
"The World of Science Fiction, 1926-1976: The History of a Subculture","Del Rey, Lester",Biography,2003,6850392220,Available,,,,Lost
Passionate Paradox; the Life of Marie Stopes,"briant, keith",Biography,2008,9370133343,Returned,Student 228,14-07-2024,17-07-2024,Good
The Law,"Vailland, Roger",Fantasy,2003,7004510516,Returned,Student 128,30-01-2024,31-01-2024,Damaged
Horsewatching: Why does a horse whinny and everything else you ever wanted to know,"Morris, Desmond",History,2013,3412365931,Issued,Student 134,29-06-2024,14-07-2024,To Be Replaced
Linda Mccartney's Home Cooking,"McCartney, Linda",Science,2011,1859759428,Available,,,,Damaged
Herblock's special for today,"Block, Herbert",Non-Fiction,2008,5283209430,Issued,Student 178,30-06-2024,03-07-2024,Lost
Beginners Cookbook (Home Library),#VALUE!,Science,1999,4656572173,Available,,,,Damaged
Ghost Light: A Memoir,"Rich, Frank",Non-Fiction,1987,5231112087,Available,,,,Damaged
The Sands of Time: A Hermux Tantamoq Adventure,"Hoeye, Michael",Fiction,2003,6879428703,Available,,,,Good
Murder at the Pentagon,"Truman, Margaret",Fiction,1999,3469178881,Available,,,,To Be Replaced
The Goomba's Book of Love,"Schirripa, Steve and Fleming, Charles",Fiction,2008,7517011632,Available,,,,Damaged
Stanley Elkin's Greatest Hits,"Elkin, Stanley",Biography,2017,5150074940,Issued,Student 258,15-01-2024,11-02-2024,Good
Griffin & Sabine: An Extraordinary Correspondence,"Bantock, Nick",Non-Fiction,1999,1707196784,Issued,Student 116,29-03-2024,15-04-2024,Good
"Wine in Everyday Cooking: ""Cooking with Wine for Family and Friends""","Ballard, Patricia",Science,1992,7660813178,Available,,,,To Be Replaced
Leading Lady: The World and Theatre of Katharine Cornell,"Mosel, Ted",Fantasy,2014,9991206531,Available,,,,Damaged
Invasion of the Mind Swappers From Asteroid 6!,"Helquist, Brett (ILT) and Howe, James",Non-Fiction,1990,7894019119,Available,,,,Damaged
The march of democracy,"Adams, James Truslow",Fiction,2021,7752277876,Available,,,,Lost
Einstein's Monsters,"Amis, Martin",Fantasy,1998,6592451645,Available,,,,Lost
How To Live Through A Bad Day: 7 Powerful Insights From Christ's Words on the Cross,"Hayford, Jack W.",Science,2009,9903351330,Available,,,,Damaged
The Ideals Country Kitchen Cookbook,Kronschnab,History,2010,2994763896,Returned,Student 74,21-03-2024,18-04-2024,Damaged
The Passenger from Scotland Yard: A Victorian Detective Novel,"Wood, H. Freeman",Biography,2002,9484167278,Available,,,,Good
The 27-Ingredient Chili Con Carne Murders,"Pickard, Nancy",Fantasy,2015,5751023835,Available,,,,Damaged
Looking for Alaska,"Jenkins, Peter",Science,2008,2064803502,Available,,,,To Be Replaced
Give Us This Day,"Tudor, Tasha (ILT)",History,2019,2795875043,Available,,,,Good
Crossing Over Jordan,"Brown, Linda Beatrice",Biography,2000,5979337757,Returned,Student 256,19-03-2024,04-04-2024,Lost
Sculpture & carving at Washington Cathedral,"Feller, Richard T",History,2012,2033921654,Returned,Student 25,13-01-2024,23-01-2024,To Be Replaced
When Birds Could Talk And Bats Could Sing,"Moser, Barry (ILT) and Hamilton, Virginia",Technology,2021,8183421297,Returned,Student 275,03-01-2024,31-01-2024,To Be Replaced
Line of Fire: Continuing the Saga of the Corps,"Griffin, W. E. B.",Non-Fiction,1996,8419590655,Issued,Student 188,12-01-2024,25-01-2024,To Be Replaced
Sun and Shadow,"Green, Julie",Fantasy,1992,2239534867,Issued,Student 259,25-04-2024,20-05-2024,Good
Heartstring Quilts: Quilts Made Easy (Quilting),#VALUE!,Technology,2019,1510289448,Available,,,,Lost
Crooked Hearts,"Boswell, Robert",Technology,2001,1619623590,Issued,Student 257,11-01-2024,13-01-2024,To Be Replaced
The Lower Depths and Other Plays,"Gorky, Maksim",Biography,2001,8747974356,Returned,Student 77,04-06-2024,03-07-2024,To Be Replaced
Chanticleer;: The poems of Terry Wise,Terry Wise,Science,2019,2368076065,Returned,Student 154,31-05-2024,11-06-2024,Lost
You Know You're A Republican/Democrat If...,"Benjamin, Frank",Fantasy,2011,6582557981,Available,,,,Lost
From Mama's Kitchen,"Smith, Catharine P. (EDT)",Biography,1987,9503597301,Issued,Student 14,01-06-2024,17-06-2024,Damaged
The Silence Now: New and Uncollected Early Poems,"Sarton, May",Technology,2017,3480920839,Available,,,,Lost
Especially for Mothers,"Rice, Helen Steiner",Non-Fiction,2013,8907752604,Available,,,,Lost
The Big Bite Book of Pizzas,"Jansz, Meg",Fiction,2016,1471997674,Available,,,,Damaged
Stories In An Almost Classical Mode,"Brodkey, Harold.",History,1989,6170675398,Returned,Student 32,29-06-2024,04-07-2024,Lost
Princess Margaret,"Hope, Alice",Fantasy,2000,6913417379,Available,,,,Lost
M'sieu Robin : Lyrics and legends of Jean Baptiste and his friends,Wallace Bruce Amsbary,Science,2014,8272725281,Returned,Student 99,04-03-2024,13-03-2024,Good
With or Without and Other Stories,"Dickinson, Charles",Non-Fiction,1999,8607135564,Available,,,,To Be Replaced
Parenting Isn't for Cowards: Dealing Confidently With the Frustrations of Child-Rearing,"Dobson, James C.",History,2000,7355707297,Returned,Student 148,01-02-2024,20-02-2024,Damaged
Frisky Business: All About Being Owned by a Cat,"Brethwaite, Chris, Ahern, Lee Ann, and Bridgeman, Bill et al",History,2005,8809871735,Available,,,,Damaged
The Seacoast of Bohemia,"Freeling, Nicolas",Science,1985,3057629778,Available,,,,Good
The Arrival Kit: A Guide for your Journey in the Kingdom of God,Ralph W. Neighbour Jr.,Fantasy,1997,1589582865,Available,,,,To Be Replaced
The Catholic Girl's Guide to Sex,"Anderson, Melinda, Murray, Kathleen, and Arnold, Alli (ILT)",Biography,2013,2000025413,Available,,,,To Be Replaced
In the Shadow of the Ark,"Provoost, Anne and Nieuwenhuizen, John",Biography,2010,4310415016,Available,,,,To Be Replaced
The Supernaturalist,"Colfer, Eoin",History,2021,9067664957,Issued,Student 103,12-07-2024,22-07-2024,Damaged
U and I: A True Story,"Baker, Nicholson",Biography,1983,9974165440,Available,,,,Damaged
Love Invents Us,Amy Bloom,Biography,1982,6046864799,Available,,,,Good
Zero Db and Other Stories,"Bell, Madison Smartt",Technology,2011,1160916026,Issued,Student 291,03-06-2024,07-06-2024,To Be Replaced
The Heart of a Leader,"Blanchard, Kenneth H.",History,2021,5031086659,Issued,Student 140,19-02-2024,16-03-2024,Lost
Hefner,"Brady, Frank",Non-Fiction,2009,8079331637,Available,,,,Lost
The Secrets of Savvy Networking: How to Make the Best Connections for Business and Personal Success,"RoAne, Susan",Science,1998,4252504650,Available,,,,To Be Replaced
A Shaker's Dozen,"Rocheleau, Paul (ILT) and Homsen, Kathleen",History,2007,7508080884,Available,,,,Damaged
Personal History,"Graham, Katharine",Fiction,1991,5216305802,Issued,Student 166,04-03-2024,05-03-2024,Damaged
Friendship with God: an uncommon dialogue,"Walsch, Neale Donald",Non-Fiction,2008,8532327465,Returned,Student 155,29-05-2024,22-06-2024,Damaged
Extravagant Grace,"Clairmont, Patsy, Walsh, Sheila, Johnson, Barbara, Clairmont, Patsy (EDT), Mullins, Traci (EDT), Swindoll, Luci, Meberg, Marilyn, Wells, Thelma, and Women Of Faith (COR)",Science,2021,2014911848,Available,,,,To Be Replaced
13 Things You Gotta Know to Make it as a Christian (Powerlink Student Devotional),"McDowell, Josh and Hostetler, Bob",Non-Fiction,2005,8601409432,Available,,,,Lost
Dave Barry's Guide to Marriage and/or Sex,"Barry, Dave",Science,2019,1948540266,Available,,,,Good
The Festival Cookbook: Four Seasons of Favorites,"Good, Phyllis Pellman",History,2018,6899673770,Returned,Student 276,19-06-2024,16-07-2024,Good
Shella,"Vachss, Andrew H.",Non-Fiction,2023,9941564880,Returned,Student 271,29-06-2024,11-07-2024,Damaged
What To Cook When You Think There's Nothing in the House To Eat: More Than 175 Easy Recipes And Meal Ideas,"Schwartz, Arthur",Fiction,1983,3304937838,Available,,,,Damaged
Little Vegetarian Feasts: Main-Dish Grains,"Shulman, Martha Rose and Drechsler, Debbie (ILT)",History,1987,3921845810,Issued,Student 47,10-05-2024,25-05-2024,Good
Stir-Fry (Sunset Creative Cooking Library),Sunset Books,Non-Fiction,2012,7079202254,Available,,,,Lost
Collected Stories of Reynolds Price,"Price, Reynolds",Biography,1999,4106464319,Returned,Student 131,01-01-2024,25-01-2024,Lost
DIY Girl,"Gesue, Monica (ILT) and Bonnell, Jennifer",Fiction,1982,7114733717,Available,,,,Damaged
The Divine Pastime: Theatre Essays,"Clurman, Harold",Fiction,2010,5431267548,Returned,Student 93,15-07-2024,20-07-2024,Damaged
What's Bred in the Bone (Cornish Trilogy),"Davies, Robertson",Biography,2021,9434381915,Returned,Student 196,24-04-2024,22-05-2024,Good
Mastering the Zone: The Next Step in Achieving SuperHealth and Permanent Fat Loss,"Sears, Barry and Goodbody, Mary",Fiction,2023,8989870040,Available,,,,Lost
North Carolina Lighthouses,David Stick,History,2013,5203589186,Available,,,,Damaged
"Analyzing Performance Problems, or You Really Oughta Wanna","Robert Frank Mager, Peter Pipe",Science,2009,7633342225,Returned,Student 118,04-03-2024,19-03-2024,To Be Replaced
Reviving Ophelia: Saving the Selves of Adolescent Girls (Ballantine Reader's Circle),"Pipher, Mary Bray",Science,1992,1484664056,Issued,Student 9,02-03-2024,09-03-2024,Damaged
Napoleon and Hitler,"Seward, Desmond",Fantasy,1982,4746123831,Available,,,,To Be Replaced
Encounter and Encouragement: A Bicentennial Review of German-American Relations,Joachim Hans Schwelien,History,2008,1242425303,Issued,Student 120,06-07-2024,25-07-2024,Lost
Too Busy to Clean,"Barrett, Patti",Fantasy,2023,8809893329,Available,,,,Lost
Keeping Your Kids Catholic: It May Seem Impossible but It Can Be Done,Bert Ghezzi,Biography,2013,6244338653,Issued,Student 141,16-01-2024,03-02-2024,Good
Vines (Burpee American Gardening Series),"Bales, Suzanne Frutig",Non-Fiction,2020,8210176888,Issued,Student 25,29-03-2024,19-04-2024,Damaged
Roads to Antietam,"Schildt, John W.",Technology,2013,7083067988,Available,,,,Good
Nursery Rhymes: A Collection from Mother Goose (Illustrated Library for Child.),"Hale, Glorya (EDT), Anderson, Anne, Lee, Ella Doldar, Anderson, Anne (ILT), and Lee, Ella Doldar (ILT)",Non-Fiction,2014,3033747850,Available,,,,To Be Replaced
The Art of Cooking with Herbs & Spices,"Miloradovich, Milo",Non-Fiction,2009,4928783441,Issued,Student 214,22-05-2024,08-06-2024,Lost
The uncommon cookbook,"Mellinkoff, Ruth",Non-Fiction,1996,6168291913,Available,,,,Lost
List Your Self: Listmaking as the Way to Self-Discovery,"Segalove, Ilene and Velick, Paul Bob",Fiction,2014,1818112342,Issued,Student 194,21-06-2024,11-07-2024,Good
The Insider's Guide to Getting Published: Why They Always Reject Your Manuscript and What You Can Do About It,"Boswell, John",Technology,1984,3400244542,Issued,Student 107,26-03-2024,05-04-2024,Damaged
"Walking the Cat by Tommy "" Tip"" Paine: Gordon Liddy Is My Muse II","Batchelor, John Calvin",Non-Fiction,1987,8534793156,Available,,,,To Be Replaced
The Theory of the Modern Stage: An Introduction to Modern Theatre and Drama,Eric  Bentley,Biography,1993,6510697299,Issued,Student 274,15-06-2024,27-06-2024,Damaged
Mistler's Exit,"Begley, Louis",Science,2012,9086615744,Issued,Student 51,03-07-2024,19-07-2024,Good
Small Patchwork & Quilting,"Linsley, Leslie, Aron, Jon (PHT), and Savonen, Robby (ILT)",Non-Fiction,2003,6638957137,Available,,,,Damaged
A Portfolio of Outdoor Furnishing Ideas (Portfolio Ofideas),"Cowles Creative Publishing, Cy Decosse Inc",Biography,1989,5364631241,Issued,Student 152,09-02-2024,16-02-2024,Damaged
Cooking With Helen McCully Beside You,"McCully, Helen",History,2016,4579265601,Issued,Student 282,16-06-2024,08-07-2024,Good
Christopher Idone's Glorious American Food,"Idone, Christopher",Technology,2011,7402059279,Available,,,,To Be Replaced
Family portrait,"Bowen, Catherine Drinker",Non-Fiction,1988,3097302637,Available,,,,Damaged
The Whole Shebang: A State-of-the-Universe(s) Report,"Ferris, Timothy",Technology,1984,3869963931,Available,,,,Damaged
Eating Well for Optimum Health: The Essential Guide to Bringing Health and Pleasure Back to Eating,"Weil, Andrew",Technology,2020,1993998848,Available,,,,To Be Replaced
Teverton Hall,"Gillespie, Jane",Fantasy,2009,2602884797,Returned,Student 250,05-01-2024,06-01-2024,Good
Inference of guilt,"Greene, Harris",History,1980,9661772834,Returned,Student 275,14-03-2024,15-03-2024,Good
Lines in the Sand: Desert Storm and the Remaking of the Arab World,"Amos, Deborah",Biography,2007,4907446848,Available,,,,Damaged
The Witling,"Vinge, Vernor",Non-Fiction,1995,7556078550,Returned,Student 137,11-04-2024,14-04-2024,To Be Replaced
The Courage to Be Rich: Creating a Life of Material and Spiritual Abundance,"Orman, Suze",History,2016,3994607170,Issued,Student 42,16-06-2024,14-07-2024,Damaged
Our Nature,"Gilbert, Bill",Fiction,1985,7035624331,Issued,Student 283,01-05-2024,03-05-2024,Damaged
The Gift of Sex: A Guide to Sexual Fulfillment,"Penner, Clifford and Penner, Joyce",Biography,1990,5650101484,Issued,Student 170,24-05-2024,21-06-2024,Good
Basic Principles of Classical Ballet,"Vaganova, A. Ia.",Fiction,1994,7337225482,Available,,,,To Be Replaced
The Biblical Road to Blessing,"Hinn, Benny",Science,2014,1141312095,Issued,Student 9,23-02-2024,13-03-2024,Good
Remembered Laughter: The Life of Noel Coward. Orig Pub in Great Britain Under Title: Life of Noel Coward,"Lesley, Cole",Technology,2005,4989487508,Returned,Student 84,24-05-2024,01-06-2024,Damaged
Peanuts: A Golden Celebration: The Art and the Story of the World's Best-Loved Comic Strip,"Schulz, Charles M. and Larkin, David (EDT)",Biography,2014,6719736115,Available,,,,To Be Replaced
Other loyalties;: A politics of personality,"Brower, Brock",Fiction,2012,2485455239,Available,,,,To Be Replaced
The Language of Life: A Festival of Poets,"Moyers, Bill D., Grubin, David, and Haba, James",Technology,1984,8617360361,Available,,,,Lost
The Shutterfly Guide to Great Digital Photos (CLS.EDUCATION),"Johnson, Dave and Housenbold, Jeffrey",Technology,2008,3107125807,Returned,Student 284,06-04-2024,20-04-2024,To Be Replaced
Henry VIII and His Court,"Williams, Neville",Fantasy,2022,2632399901,Issued,Student 127,01-07-2024,04-07-2024,Good
The New Grove Mozart,"Sadie, Stanley",Non-Fiction,2004,3722583581,Returned,Student 163,02-04-2024,06-04-2024,Lost
Short bike rides in New Jersey,"Santelli, Robert",Science,2008,2158638062,Available,,,,Good
Pledged: The Secret Life of Sororities,"Robbins, Alexandra",History,2008,7495883972,Available,,,,Lost
Smoky Mountains Trout Fishing Guide,"Kirk, Don",Science,2015,9989642546,Issued,Student 198,04-01-2024,14-01-2024,Lost
A Thing or Two About Soccer,"Buckley, James, Teitelbaum, Michael, and Wolff, Rick (FRW)",Technology,1985,3238126936,Returned,Student 87,05-02-2024,14-02-2024,Lost
Guide to Cults and New Religions,"Enroth, Ronald",History,1989,1271730355,Issued,Student 142,17-04-2024,27-04-2024,Damaged
"Preparatory Piano Literature: Origianl Keyboard Classics With Optional Teacher Duets, Elementary (Developing Artist)","Faber, Randall (COP), Faber, Nancy (COM), and Hansen, Jeanne (CON)",Science,1996,5055403877,Issued,Student 101,27-04-2024,01-05-2024,Good
Winter Has Lasted Too Long,"Kavanaugh, James J",Fiction,2005,7958672456,Issued,Student 226,26-03-2024,09-04-2024,Lost
"Iron Man: The Cal Ripken, Jr. Story","Rosenfeld, Harvey",Non-Fiction,1999,6157617867,Issued,Student 91,11-04-2024,22-04-2024,Damaged
The Only Way I Know,"Ripken, Cal, Jr. and Bryan, Mike",Biography,2020,6336171726,Issued,Student 144,10-04-2024,22-04-2024,Good
Knots on a Counting Rope (Reading Rainbow Books),"Rand, Ted (ILT), Martin, Bill, and Archambault, John",Non-Fiction,2017,8418324922,Available,,,,To Be Replaced
New Ways With Fresh Flowers: 50 Inspirational Projects for Contemporary Floral Designers,"Barnett, Fiona",Technology,1984,3144490990,Issued,Student 124,05-03-2024,27-03-2024,Lost
QPB Encyclopedia of Word & Phrase Origins,"Hendrickson, Robert",History,2004,5612645121,Issued,Student 299,12-04-2024,30-04-2024,Damaged
German A La Cartoon,"Small, Albert H. (EDT)",History,2014,9454334062,Available,,,,Damaged
The Complete Idiot's Guide to Getting Published,"Bykofsky, Sheree and Sander, Jennifer Basye",Non-Fiction,2022,8149805821,Available,,,,Good
Death Gets a Time-Out (Mommy-Track Mysteries),"Waldman, Ayelet",Fiction,2016,8527715219,Issued,Student 55,03-01-2024,07-01-2024,Damaged
The Reader's Companion to South Africa,"Ryan, Alan (EDT)",Fantasy,2013,6244291385,Issued,Student 201,28-04-2024,23-05-2024,Damaged
Dealing With People You Can't Stand,"Brinkman, Rick and Kirschner, Rick",Biography,2012,5942411853,Available,,,,Damaged
Operation Redemption: A Vision of Hope in an Age of Turmoil,"Trevelyan, George",Science,2006,1368743555,Available,,,,Good
Let Freedom Ring: Winning the War of Liberty over Liberalism,"Hannity, Sean",Science,2009,4368413994,Issued,Student 179,01-05-2024,05-05-2024,To Be Replaced
Hamlet (Oxford World's Classics),"Shakespeare, William and Hibbard, G. R. (EDT)",Biography,2008,2369705770,Issued,Student 23,30-06-2024,04-07-2024,To Be Replaced
The Playboy of the Western World and Other Plays: Riders to the Sea; The Shadow of the Glen; The Tinker's Wedding; The Well of the Saints; The Playboy ... of the Sorrows (Oxford World's Classics),"Synge, John Millington and Saddlemyer, Ann (EDT)",Biography,1986,5982744929,Issued,Student 237,29-02-2024,26-03-2024,Good
Grandparenthood,"Westheimer, Ruth K. and Kaplan, Steven",Non-Fiction,1991,7150970643,Available,,,,Lost
Twelve,"Kittredge, Elaine",Non-Fiction,2008,7838460497,Issued,Student 3,29-06-2024,06-07-2024,Damaged
"Cycles of Fire: Stars, Galaxies and the Wonder of Deep Space","Hartmann, William K.",Technology,1984,3479690385,Available,,,,Good
The Dancing Healers: A Doctor's Journey of Healing with Native Americans,"Hammerschlag, Carl A.",Non-Fiction,2009,5784400161,Issued,Student 271,12-06-2024,23-06-2024,To Be Replaced
Time Exposure: A Photographic Record of the Dinosaur Age,"Dixon, Dougal and Burton, Jane",Fantasy,2005,3521166052,Issued,Student 181,27-04-2024,17-05-2024,Good
"The Way of the Trout: Anglers, Wild Fish and Running Water","Montgomery, M. R. and Brown-Wing, Katherine (ILT)",Biography,1999,3534753843,Available,,,,To Be Replaced
Hope Was Here (Newbery Honor Book),"Bauer, Joan",Non-Fiction,1999,1502291736,Issued,Student 73,10-05-2024,23-05-2024,Damaged
A Tale of Two Cities (Oxford World's Classics),"Dickens, Charles and Sanders, Andrew (EDT)",Non-Fiction,2016,6942989052,Available,,,,To Be Replaced
Frank Sinatra: An American Legend,"Sinatra, Nancy",Fantasy,2021,6011649263,Issued,Student 72,17-02-2024,28-02-2024,Damaged
WP8 - Theory Lessons - Level 2 - Bastien Piano Library,James Bastien,Fiction,2002,5088130061,Issued,Student 70,19-02-2024,17-03-2024,To Be Replaced
Who Owns America?,"Hickel, Walter J.",Fantasy,2021,7420846622,Issued,Student 213,30-06-2024,27-07-2024,To Be Replaced
Bloodsong,"Neimark, Jill",Non-Fiction,1985,3428365056,Available,,,,Lost
The Vampire Book: The Encyclopedia of the Undead,"Melton, J. Gordon",Science,1994,7603978731,Available,,,,Good
A Midsummer Night's Dream (Oxford World's Classics),"Shakespeare, William and Holland, Peter (EDT)",Fantasy,2011,5785481124,Issued,Student 278,12-07-2024,14-07-2024,To Be Replaced
Bob Miller's Calc for the Clueless: Calc I (Bob Miller's Clueless Series),"Miller, Robert",History,2014,2826025489,Available,,,,To Be Replaced
Mariel of Redwall,"Jacques, Brian and Chalk, Gary (ILT)",History,1996,4507822591,Issued,Student 61,17-07-2024,12-08-2024,Damaged
The Body Book: A Fantastic Voyage to the World Within,"Bodanis, David",Technology,2017,8254773516,Issued,Student 85,06-06-2024,11-06-2024,Damaged
Nerilka's Story (Dragonriders of Pern Series),"McCaffrey, Anne",Technology,1983,7743417981,Issued,Student 276,13-02-2024,24-02-2024,Damaged
Americas: The Changing Face of Latin America and the Caribbean (A Main Selection of the History Book Club),"Winn, Peter",Science,2016,1408988968,Issued,Student 31,11-03-2024,08-04-2024,Lost
"Mayo Clinic On Vision And Eye Health: Practical Answers on Glaucoma, Cataracts, Macular Degeneration & Other Conditions (""MAYO CLINIC ON"" SERIES)","Mayo Clinic (COR) and Buettner, Helmut (EDT)",Biography,1988,2072355594,Issued,Student 127,13-07-2024,09-08-2024,To Be Replaced
Parrot in the Oven: Mi vida (Cover May Vary),"Martinez, Victor",History,1989,7074050517,Issued,Student 39,11-06-2024,07-07-2024,Damaged
A Passion for Golf: The Best of Golf Writing,"Garrity, John (INT) and Bishop, Schuyler (EDT)",History,2012,8515344013,Issued,Student 233,04-05-2024,15-05-2024,To Be Replaced
The Way of the Wizard: Twenty Spiritual Lessons for Creating the Life You Want,"Chopra, Deepak",Technology,1985,7590302909,Available,,,,Damaged
Handmade for Profit!: Hundreds of Secrets to Success in Selling Arts and Crafts,"Brabec, Barbara",History,1997,6512990303,Available,,,,Damaged
Totline Teaching Tales ~ Short-Short Stories ~ Simple Stories For Young Children Plus Seasonal Activities,"Warren, Jean and McKinnon, Elizabeth S. (EDT)",Technology,2001,4273856102,Available,,,,To Be Replaced
Treasury Whole Language Literature Ideas (Troll Teacher Idea Books),"Reeves, Barbara",Technology,2009,1069927882,Available,,,,Damaged
Meet the Author (Troll Professional Series),"Orzakis, Laurie",Fiction,2007,8086684009,Available,,,,Good
"Adventuring Along the Southeast Coast: The Sierra Club Guide to the Low Country, Beaches, and Barrier Islands of North Carolina, South Carolina, and (Sierra Club Adventure Travel Guides)","Bowen, John",Biography,2003,2075413763,Issued,Student 85,14-01-2024,27-01-2024,To Be Replaced
Totline Teaching Tales ~ Teeny-Tiny Folktales ~ Simple Folktales For Young Children Plus Flannelboard Patterns,"Warren, Jean",Biography,1994,9981632126,Available,,,,Damaged
"Discovering Oceans, Lakes, Ponds and Puddles","Frame, Jeron Ashford and Holladay, Scott (ILT)",History,1984,8215470878,Available,,,,Good
Game Birds Of North America,"Rue, Leonard Lee",Science,1987,5862655247,Available,,,,Good
The Birdwatcher's Companion,"MacKay, Barry Kent",Fiction,1986,5738214525,Issued,Student 154,05-02-2024,18-02-2024,Damaged
"Stalking birds with color camera,","Allen, Arthur A",Technology,1988,3908281627,Available,,,,To Be Replaced
Glorious French Food: A Fresh Approach to the Classics,"Peterson, James",Fiction,2019,3791815554,Issued,Student 180,03-07-2024,10-07-2024,Damaged
The Portrait of a Lady (Oxford World's Classics),"James, Henry and Bradbury, Nicola (EDT)",Non-Fiction,2006,1933058809,Available,,,,To Be Replaced
"Wilderness kingdom, Indian life in the Rocky Mountains: 1840-1847;: The journals & paintings of Nicolas Point","Point, Nicolas",Fiction,2017,8430332727,Issued,Student 220,21-03-2024,16-04-2024,Lost
Managing Transitions: Making The Most Of Change,"Bridges, William",Science,2021,1361845490,Issued,Student 14,17-06-2024,16-07-2024,Lost
False Assumptions,"Cloud, Henry and Townsend, John",Fantasy,2018,3188382776,Issued,Student 152,14-06-2024,16-06-2024,To Be Replaced
"Mortgaging The Earth: The World Bank, Environmental Impoverishment, and the Crisis of Development","Rich, Bruce",History,1987,6330405542,Available,,,,To Be Replaced
Banff Springs the Story of a Hotel,Bart Robinson,Science,2000,5861829469,Issued,Student 188,19-05-2024,10-06-2024,Good
Origins Of History,"Butterfield, Herbert",History,1984,9661615016,Available,,,,Lost
What Bird Did That?: A Driver's Guide to Some Common Birds of North America,"Silver, Burton",Non-Fiction,1982,4962447893,Issued,Student 260,14-03-2024,04-04-2024,Lost
A Separate Peace with Connections (HRW Library),Holt Mcdougal (COR),Technology,2006,2727768349,Available,,,,Damaged
Inner Revolution,"Thurman, Robert A. F.",Science,1985,4470591645,Issued,Student 201,30-05-2024,20-06-2024,Damaged
Lost Cities of the Maya (Discoveries),"Baudez, Claude F. and Picasso, Sydney",Biography,2021,5578929439,Issued,Student 123,15-01-2024,23-01-2024,To Be Replaced
Life in Ancient Egypt,"Erman, Adolf",Fiction,2009,5531313426,Available,,,,Lost
25 Bicycle Tours in New Jersey,"Zatz, Aline and Zatz, Joel",Biography,1988,4012917912,Available,,,,Good
